unitid,cohort,Rate,iclevel,control,hloffer,locale,instcat,c21enprf,cbsatype,GrantRate,GrantAvg,PellRate,LoanRate,LoanAvg,InDistrictT,InDistrictTDiff,InDistrictF,InDistrictFDiff,InStateT,InstateF,OutStateT,OutStateTDiff,OutStateF,OutStateFDiff,Housing,ScaledHousingCap,board,roomamt,boardamt,AvgSalary,StuFacRatio
115728,119,57.98%,Four or more years,Private not-for-profit,Post-master^s certificate,City: Large,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,84.20%,27720.887165,45.98%,63.05%,5211.6149506,0,0,0,0,40368,536,0,0,0,0,1,1.6113636364,1,7226,6768,72262.833333,14.8
115746,,,Four or more years,Private for-profit,Doctor^s degree,Rural: Fringe,"Degree-granting, graduate with no undergraduate degrees",Exclusively graduate,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
115755,1400,47.50%,Four or more years,Public,Master^s degree,Town: Remote,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Micropolitan Statistical Area,70.47%,6546.020972,51.50%,39.20%,2601.9713715,0,0,0,0,5742,2122,1,11880,0,0,1,2.9038182697,1,6638,5600,88120.546875,11.7
115773,2,100.0%,Four or more years,Private not-for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,74.89%,4413.0792952,66.96%,75.77%,5330.5682819,0,0,0,0,14580,0,0,0,0,0,0,,3,0,0,,
115861,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Fringe,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,84.37%,4634.4309982,51.58%,0.00%,0,0,0,0,0,1104,22,1,5520,0,0,0,,3,0,0,,
115931,,,At least 2 but less than 4 years,Private for-profit,Associate^s degree,City: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
116226,5,60.00%,Four or more years,Private for-profit,Master^s degree,City: Small,"Degree-granting, not primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,24.46%,706.23021583,23.74%,46.76%,4090.5971223,0,0,0,0,19950,300,0,0,0,0,0,,3,0,0,73174.333333,23.2
116350,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
116439,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,42.95%,1813.3436347,17.96%,0.59%,29.158373637,0,0,0,0,1104,42,1,7680,0,0,0,,3,0,0,,
116563,,,At least 2 but less than 4 years,Private for-profit,"At least 2, but less than 4 academic yrs",Suburb: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
116846,8,50.00%,Four or more years,Private not-for-profit,Post-master^s certificate,City: Large,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,100.0%,2550.2857143,47.62%,28.57%,1204.4285714,0,0,0,0,31394,856,0,0,0,0,1,0.2058823529,2,7644,6500,118062.125,2.6
117052,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",Town: Distant,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,59.64%,2248.3940553,27.31%,0.28%,12.891848146,0,0,0,0,1104,200,1,7200,0,0,1,48.542857143,2,4128,2050,,
117104,72,51.39%,Four or more years,Private not-for-profit,Master^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,82.86%,7260.2163265,50.20%,62.24%,4316.3714286,0,0,0,0,17400,900,0,0,0,0,1,1.606557377,1,0,0,,
117140,718,69.36%,Four or more years,Private not-for-profit,Doctor^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,82.38%,20081.245631,47.06%,57.84%,4278.6325243,0,0,0,0,44700,1150,0,0,0,0,1,4.1117764471,1,8450,6580,,
117168,81,70.37%,Four or more years,Private not-for-profit,Master^s degree,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,98.77%,19089.811475,35.66%,55.05%,4009.239071,0,0,0,0,33600,0,0,0,0,0,1,13.071428571,3,10930,0,83832.423077,14.1
117195,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Fringe,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,56.13%,1215.0321612,14.58%,0.73%,58.78516295,0,0,0,0,1116,15,1,7380,0,0,1,77.733333333,3,6750,0,,
117238,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",Suburb: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
117247,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,46.33%,1458.6750758,14.96%,0.50%,38.099501949,0,0,0,0,1104,44,1,7368,1,168,0,,3,0,0,,
117274,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Fringe,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,76.26%,1336.2082418,9.78%,0.38%,17.758791209,0,0,0,0,1104,23,1,6720,0,0,1,16.851851852,2,3000,2300,,
117283,,,Four or more years,Private not-for-profit,Bachelor^s degree,Suburb: Large,"Degree-granting, not primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,64.41%,3072.0508475,35.59%,10.17%,484.13559322,0,0,0,0,8400,1240,0,0,0,0,1,0.59,1,0,0,,
117520,,,Four or more years,Private not-for-profit,Doctor^s degree,Suburb: Large,"Degree-granting, graduate with no undergraduate degrees",Exclusively graduate,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
117557,33,72.73%,Four or more years,Private not-for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,50.57%,2131.6206897,21.84%,35.63%,3024.8850575,0,0,0,0,10920,500,0,0,0,0,0,,3,0,0,60307.692308,3.3
117575,,,Four or more years,Private not-for-profit,Doctor^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,76.00%,2173.14,50.00%,40.00%,2820.44,0,0,0,0,16380,1356,0,0,0,0,1,5,3,6570,0,,
117627,258,57.36%,Four or more years,Private not-for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,88.83%,15193.641718,44.11%,56.07%,3821.8208589,0,0,0,0,33228,990,0,0,0,0,1,1.9176470588,1,4740,4050,72184.076923,7.8
117636,,,Four or more years,Private not-for-profit,Doctor^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,57.53%,5604.2739726,30.99%,62.24%,6712.010274,0,0,0,0,32736,3676,0,0,0,0,1,2.2901960784,3,4560,0,80583.694444,8.1
117645,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,68.63%,3040.8493973,35.56%,1.37%,98.141357411,0,0,0,0,1472,84,1,9888,0,0,0,,3,0,0,,
117672,1,100.0%,Four or more years,Private not-for-profit,Doctor^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,13.88%,347.22727273,11.48%,16.99%,1460.65311,0,0,0,0,11459,534,0,0,0,0,0,,3,0,0,,
117681,,,Four or more years,Public,Bachelor^s degree,City: Large,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
117690,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,52.48%,1556.1619865,20.11%,0.31%,17.653832005,0,0,0,0,1196,42,1,7774,0,0,0,,3,0,0,,
117706,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,51.78%,1934.5310265,24.54%,2.23%,192.51430219,0,0,0,0,1196,42,1,7774,0,0,0,,3,0,0,,
117715,,,At least 2 but less than 4 years,Public,Associate^s degree,Suburb: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,58.94%,1761.2181574,24.38%,1.15%,89.621719977,0,0,0,0,1196,42,1,7774,0,0,0,,3,0,0,,
117724,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,55.17%,1835.2848602,23.74%,0.81%,58.692016881,0,0,0,0,1196,42,1,7774,0,0,0,,3,0,0,,
117733,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,55.44%,1917.2901408,24.28%,0.91%,67.644507042,0,0,0,0,1196,42,1,7774,0,0,0,,3,0,0,,
117751,201,71.64%,Four or more years,Private not-for-profit,Doctor^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,70.77%,8457.5682232,24.56%,40.08%,3732.9624015,0,0,0,0,27950,790,0,0,0,0,1,2.1986666667,1,6600,5730,,
117788,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,56.58%,1969.9145627,25.13%,2.65%,210.52763751,0,0,0,0,1196,42,1,7774,0,0,0,,3,0,0,,
117803,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,100.0%,1765.06,34.50%,24.00%,1701.635,0,,0,,,,0,,0,,0,,3,0,0,,
117867,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,50.84%,1459.1771483,20.04%,0.80%,64.031814819,0,0,0,0,1196,42,1,7774,0,0,0,,3,0,0,,
117894,,,At least 2 but less than 4 years,Public,Associate^s degree,Suburb: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,56.76%,1903.7873483,21.44%,0.72%,53.435107376,0,0,0,0,1288,24,1,7016,0,0,0,,3,0,0,,
117900,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",Suburb: Large,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
117946,1352,78.77%,Four or more years,Private not-for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,97.06%,19685.288026,14.31%,31.98%,1997.3383785,0,0,0,0,52310,741,0,0,0,0,1,1.8108548168,2,0,0,105293.1065,6.0
117955,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Midsize,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
118134,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
118143,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
118161,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",Suburb: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
118198,,,At least 2 but less than 4 years,Private for-profit,"At least 2, but less than 4 academic yrs",Suburb: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
118347,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",Suburb: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,32.87%,1057.6538035,13.48%,0.53%,43.022399645,0,0,0,0,1380,114,1,8370,0,0,0,,3,0,0,,
118541,256,39.45%,Four or more years,Private not-for-profit,Master^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,94.56%,18892.679612,41.94%,47.38%,3171.7281553,0,0,0,0,35158,1750,0,0,0,0,1,1.7166666667,2,0,0,77760.32,10.3
118684,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Fringe,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,50.48%,2280.8157579,25.10%,1.53%,120.4505692,0,0,0,0,1380,43,1,7020,0,0,0,,3,0,0,,
118693,151,54.97%,Four or more years,Private not-for-profit,Bachelor^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,99.76%,31877.07385,33.66%,47.94%,3213.8208232,0,0,0,0,46625,800,0,0,0,0,1,1.4619469027,2,0,0,,
118718,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Small,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,64.05%,2620.9509042,29.26%,0.22%,12.467160124,0,0,0,0,1104,76,1,6264,0,0,0,,3,0,0,,
118772,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,43.93%,846.54925562,9.88%,0.33%,25.46642382,0,0,0,0,1104,63,1,7368,1,168,0,,3,0,0,,
118888,133,62.41%,Four or more years,Private not-for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,92.26%,19556.769357,45.63%,49.26%,3607.7034596,0,0,0,0,29340,1610,0,0,0,0,1,0.8609929078,1,0,0,92554.823529,4.5
118912,,,Four or more years,Public,Bachelor^s degree,Suburb: Large,"Degree-granting, not primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,52.61%,1921.2069975,24.90%,1.61%,111.51595029,0,0,0,0,1104,48,1,7368,0,0,0,,3,0,0,,
118930,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,39.89%,1462.0049208,14.32%,0.25%,14.817468861,0,0,0,0,1104,100,1,7368,0,0,0,,3,0,0,,
118958,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Midsize,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
118976,,,Four or more years,Public,Bachelor^s degree,City: Midsize,"Degree-granting, not primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,59.69%,2160.1286282,29.84%,0.01%,0.264589062,0,0,0,0,1196,78,1,7276,0,0,1,584.46428571,3,0,0,,
118994,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
119058,,,Four or more years,Private not-for-profit,Master^s degree,Suburb: Midsize,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,92.31%,12789.461538,30.77%,38.46%,4038.4615385,0,0,0,0,42634,170,0,0,0,0,1,0.1460674157,3,9900,0,91241.797101,0.1
119067,,,At least 2 but less than 4 years,Public,Associate^s degree,Suburb: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,51.93%,1578.8139502,17.00%,0.95%,64.738747554,0,0,0,0,1104,74,1,6960,0,0,0,,3,0,0,,
119137,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",Suburb: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,46.97%,1546.3602117,15.24%,0.66%,48.393148109,0,0,0,0,1340,54,1,6004,0,0,0,,3,0,0,,
119164,,,At least 2 but less than 4 years,Public,Associate^s degree,Suburb: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,60.67%,2340.9118766,31.30%,0.37%,24.293498168,0,0,0,0,1288,64,1,8680,0,0,0,,3,0,0,,
119173,291,62.89%,Four or more years,Private not-for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,84.46%,7787.9283293,55.69%,70.46%,5278.2992736,0,0,0,0,44088,1300,0,0,0,0,1,3.8598130841,2,0,0,96625.349057,9.7
119216,,,At least 2 but less than 4 years,Public,Associate^s degree,Suburb: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,67.11%,2386.9343008,27.28%,0.04%,2.3219902774,0,0,0,0,1380,26,1,9870,0,0,0,,3,0,0,,
119270,19,68.42%,Four or more years,Private for-profit,Master^s degree,City: Large,"Degree-granting, not primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,35.38%,1694.5320334,19.36%,26.88%,1927.7103064,0,0,0,0,24525,800,0,0,0,0,0,,3,0,0,,
119331,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Small,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,67.54%,1814.1022658,18.70%,0.61%,46.687283119,0,0,0,0,1104,46,1,7584,0,0,0,,3,0,0,,
119553,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",Suburb: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
119605,28,46.43%,Four or more years,Private not-for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,17.51%,712.62137188,16.54%,25.46%,1250.6126051,0,0,0,0,13320,0,0,0,0,0,0,,3,0,0,,
119678,,,Four or more years,Public,Doctor^s degree,Suburb: Midsize,"Degree-granting, graduate with no undergraduate degrees",Exclusively graduate,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
119775,54,53.70%,Four or more years,Private for-profit,Master^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,75.21%,10455.704735,43.18%,49.86%,4374.7799443,0,0,0,0,28827,600,0,0,0,0,0,,3,0,0,,
119845,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Large,Not reported,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
119951,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Midsize,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
120023,,,Four or more years,Public,Bachelor^s degree,City: Large,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
120069,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",Suburb: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
120078,,,At least 2 but less than 4 years,Private for-profit,"At least 2, but less than 4 academic yrs",Suburb: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
120087,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
120166,15,26.67%,Four or more years,Private not-for-profit,Master^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,100.0%,5802.5,0.00%,0.00%,0,0,0,0,0,7920,800,0,0,0,0,1,0.075,3,6000,0,,
120184,171,54.39%,Four or more years,Private not-for-profit,Master^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,63.98%,12580.734597,39.81%,51.18%,4145.9905213,0,0,0,0,19740,0,0,0,0,0,0,,3,0,0,71509.75,26.4
120254,515,82.91%,Four or more years,Private not-for-profit,Master^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,99.73%,29205.960305,18.11%,32.79%,1859.2419793,0,0,0,0,57830,596,0,0,0,0,1,1.1145454545,2,9512,8090,102387.94845,4.7
120290,,,At least 2 but less than 4 years,Public,Associate^s degree,Suburb: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,34.57%,942.41390728,11.73%,0.51%,37.428256071,0,0,0,0,1104,92,1,5856,0,0,0,,3,0,0,,
120342,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,52.49%,1797.7727648,20.73%,1.53%,91.841513799,0,0,0,0,1104,94,1,7200,0,0,1,22.69125,3,13851,0,,
120403,191,68.59%,Four or more years,Private not-for-profit,Master^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,91.46%,20330.794175,36.70%,47.38%,3449.6815534,0,0,0,0,47700,3250,0,0,0,0,1,2.5558312655,1,0,0,74035.255319,11.0
120421,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,67.93%,2848.183157,32.44%,0.71%,50.497712325,0,0,0,0,1340,54,1,6004,0,0,0,,3,0,0,,
120537,112,41.96%,Four or more years,Private not-for-profit,Master^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,98.93%,18577.16895,48.55%,79.15%,4031.0532725,0,0,0,0,34250,1200,0,0,0,0,1,2.0153374233,1,6300,6200,,
120661,,,At least 2 but less than 4 years,Private for-profit,"At least 2, but less than 4 academic yrs",City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
120698,,,Four or more years,Private not-for-profit,Doctor^s degree,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,42.11%,3563.7105263,42.11%,51.32%,5174.9078947,0,0,0,0,17627,5353,0,0,0,0,0,,3,0,0,117128.03922,0.7
120768,,,Four or more years,Private not-for-profit,Master^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,63.10%,2584.5383065,59.07%,79.03%,7153.6935484,0,0,0,0,11482,210,0,0,0,0,0,,3,0,0,,
120795,,,Four or more years,Private not-for-profit,Doctor^s degree,City: Midsize,"Degree-granting, graduate with no undergraduate degrees",Exclusively graduate,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
120838,4,75.00%,Four or more years,Private not-for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,0.00%,0,0.00%,0.00%,0,0,0,0,0,8137,540,0,0,0,0,0,,3,0,0,,
120865,171,44.44%,Four or more years,Private not-for-profit,Master^s degree,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,94.24%,18328.253403,39.90%,64.29%,4658.4460733,0,0,0,0,31101,1002,0,0,0,0,1,0.7958333333,2,5112,3804,,
120883,934,69.49%,Four or more years,Private not-for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,93.96%,31637.07832,37.20%,42.99%,2860.6430193,0,0,0,0,51628,724,0,0,0,0,1,1.7073643411,2,8350,5720,87620.75576,8.1
120953,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Distant,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,50.78%,693.86663207,3.27%,0.00%,0,0,0,0,0,1380,0,1,9210,0,0,0,,3,0,0,,
120971,,,At least 2 but less than 4 years,Public,Associate^s degree,Suburb: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,48.27%,1558.2737335,16.42%,0.47%,18.569556785,0,0,0,0,1288,56,1,8596,0,0,0,,3,0,0,,
121044,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,59.84%,2484.6825517,28.72%,0.47%,30.372972757,0,0,0,0,1104,108,1,6384,0,0,0,,3,0,0,,
121150,745,82.95%,Four or more years,Private not-for-profit,Doctor^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,91.88%,28424.381613,18.56%,35.41%,2353.636022,0,0,0,0,59450,252,0,0,0,0,1,1.3412175262,2,0,0,116648.01214,4.2
121178,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Large,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
121257,267,88.39%,Four or more years,Private not-for-profit,Bachelor^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,41.87%,16041.802603,13.99%,24.40%,1103.1193059,0,0,0,0,57686,292,0,0,0,0,1,0.9485596708,1,11282,7898,106033.30108,5.0
121275,,,Four or more years,Private for-profit,Bachelor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,46.88%,3464.2708333,40.63%,39.58%,3739.1354167,0,0,0,0,16250,128,0,0,0,0,0,,3,0,0,,
121309,598,72.74%,Four or more years,Private not-for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,93.22%,16476.46393,26.46%,50.03%,3806.6200249,0,0,0,0,38800,700,0,0,0,0,1,1.7430894309,2,0,0,95034.503546,11.4
